"State" "Population" "Murder" "Rape" "Robbery" "Aggravated.assault" "Burglary" "Larceny.theft" "Motor.vehicle.theft"
"1" "alabama" 4903185 358 2068 3941 18679 26079 92477 12577
"2" "alaska" 731545 69 1088 826 4360 3563 15114 2617
"3" "arizona" 7278717 365 3662 6410 22704 28699 130788 18151
"4" "arkansas" 3017804 242 2331 1557 13513 18095 60735 7420
"5" "california" 39512223 1690 14799 52301 105541 152555 626802 141757
"6" "colorado" 5758736 218 3872 3663 14185 20064 107012 22113
"7" "connecticut" 3565287 104 771 1929 3742 6441 38457 5964
"8" "delaware" 973764 48 310 790 2967 2968 17359 1604
"9" "district of columbia" 705749 166 345 2713 4179 1843 26645 2333
"10" "florida" 21477737 1122 8456 16217 55475 63396 358402 39048
"11" "georgia" 10617423 654 2922 7961 24633 39506 188967 23776
"12" "hawaii" 1415872 48 765 1131 2098 5340 29634 5254
"13" "idaho" 1787065 35 809 155 3001 3927 16295 1571
"14" "illinois" 12671821 832 6078 12464 32187 34433 180776 18775
"15" "indiana" 6732219 377 2475 5331 16783 21795 97176 13723
"16" "iowa" 3155070 60 1164 863 6323 11710 37847 5142
"17" "kansas" 2913314 105 1416 1293 9154 9984 50165 7279
"18" "kentucky" 4467673 221 1572 2161 5747 15443 59130 10196
"19" "louisiana" 4648794 544 2273 4025 18695 26918 109359 10716
"20" "maine" 1344212 20 516 188 824 2350 13667 726
"21" "maryland" 6045680 542 1913 9203 15798 16862 89780 11259
"22" "massachusetts" 6892503 152 2204 3613 16609 12341 62844 6132
"23" "michigan" 9986857 556 7235 5350 30545 28572 111980 17744
"24" "minnesota" 5639632 117 2448 3149 7618 15927 90092 11217
"25" "mississippi" 2976149 332 747 1700 5493 18660 46300 5747
"26" "missouri" 6137428 568 2917 4959 21936 26414 114460 21072
"27" "montana" 1068778 27 624 205 3472 2887 18176 2377
"28" "nebraska" 1934408 45 1253 792 3731 4745 29719 4985
"29" "nevada" 3080156 143 2161 3286 9620 15510 44755 11260
"30" "new hampshire" 1359711 33 590 313 1138 1717 13832 893
"31" "new jersey" 8882190 262 1531 5730 10852 16399 91902 10336
"32" "new mexico" 2096829 181 1288 2341 13640 14610 41702 8957
"33" "new york" 19453561 558 6583 18068 44555 27600 226851 12704
"34" "north carolina" 10488084 632 3247 7599 27517 54447 174728 18061
"35" "north dakota" 762062 24 437 179 1529 2608 10666 1792
"36" "ohio" 11689100 538 5731 8846 19154 43894 177725 18672
"37" "oklahoma" 3956971 266 2268 2369 12183 26577 72632 13378
"38" "oregon" 4217737 116 1778 2276 7825 14724 85261 15185
"39" "pennsylvania" 12801989 669 4351 9743 24465 23354 143921 12390
"40" "puerto rico" 3193694 606 215 2121 3537 4291 14483 3667
"41" "rhode island" 1059361 25 491 418 1408 2321 12580 1358
"42" "south carolina" 5148714 464 2460 3294 20105 27461 108953 14975
"43" "south dakota" 884659 17 642 195 2676 2646 11265 1756
"44" "tennessee" 6829174 498 2813 6150 31186 29869 132104 19180
"45" "texas" 28995881 1409 14824 28988 76253 113902 501813 77489
"46" "utah" 3205958 72 1822 1125 4534 8871 53937 6738
"47" "vermont" 623989 11 278 71 902 1275 7315 298
"48" "virginia" 8535519 426 2816 3524 10987 13900 116044 10269
"49" "washington" 7614893 198 3332 5147 13700 34540 145282 24402
"50" "west virginia" 1792147 78 754 378 4464 5891 20066 2419
"51" "wisconsin" 5822434 175 2261 2991 11643 12667 65620 7385
"52" "wyoming" 578759 13 324 67 854 1396 6984 713
